# Track con ALZADO de diseno (profile_editor):
# planta resuelta + rasantes y acuerdos parabolicos
# kappa_1pm,elev_m,kerb,peralte_rad,semiancho_m (seg 4.0 m)
0.000025,9.91,0,0.0000,4.14
0.000035,9.86,0,0.0000,4.15
0.000049,9.82,0,0.0000,4.15
0.000130,9.77,0,0.0000,4.15
0.000260,9.72,0,0.0000,4.15
0.000443,9.68,0,0.0043,4.15
0.000689,9.63,0,0.0070,4.15
0.001100,9.58,0,0.0117,4.16
0.001610,9.54,0,0.0201,4.16
0.002794,9.49,0,0.0346,4.16
0.004828,9.44,1,0.0558,4.16
0.008620,9.40,1,0.0821,4.16
0.014977,9.35,1,0.1047,4.18
0.021833,9.31,1,0.1047,4.29
0.027465,9.26,1,0.1047,4.50
0.030621,9.21,1,0.1047,4.76
0.030054,9.17,1,0.1047,4.88
0.024743,9.12,1,0.1047,4.94
0.017555,9.07,1,0.1047,4.96
0.010471,9.03,1,0.0874,4.96
0.004713,8.98,1,0.0561,4.96
0.000834,8.93,0,0.0301,4.95
-0.000934,8.89,0,0.0116,4.95
-0.001320,8.84,0,0.0000,4.95
-0.001252,8.79,0,-0.0041,4.95
-0.000882,8.75,0,-0.0049,4.95
-0.000433,8.70,0,0.0000,4.95
-0.000102,8.66,0,0.0000,4.94
0.000060,8.61,0,0.0000,4.94
0.000166,8.56,0,0.0000,4.94
0.000227,8.52,0,0.0000,4.94
0.000228,8.47,0,0.0000,4.94
0.000262,8.42,0,0.0000,4.94
0.000281,8.38,0,0.0000,4.93
0.000289,8.33,0,0.0000,4.93
0.000291,8.28,0,0.0000,4.93
0.000334,8.24,0,0.0000,4.93
0.000260,8.19,0,0.0000,4.93
0.000142,8.15,0,0.0000,4.93
-0.000043,8.10,0,0.0000,4.92
-0.000309,8.05,0,0.0000,4.92
-0.000822,8.01,0,-0.0043,4.92
-0.001197,7.96,0,-0.0043,4.92
-0.001227,7.91,0,0.0000,4.92
-0.000836,7.87,0,0.0000,4.92
0.000117,7.82,0,0.0113,4.92
0.002330,7.78,0,0.0234,4.91
0.004681,7.74,1,0.0410,4.91
0.007458,7.72,1,0.0661,4.91
0.010861,7.70,1,0.0974,4.91
0.016369,7.69,1,0.1047,4.94
0.024265,7.69,1,0.1047,5.10
0.031424,7.71,1,0.1047,5.31
0.038700,7.73,1,0.1047,5.52
0.044827,7.76,1,0.1047,5.74
0.046889,7.80,1,0.1047,5.83
0.043221,7.84,1,0.1047,5.61
0.035963,7.90,1,0.1047,5.27
0.027149,7.97,1,0.1047,4.98
0.017865,8.04,1,0.1047,4.85
0.009508,8.13,1,0.0952,4.68
0.003317,8.21,0,0.0588,4.58
0.001335,8.29,0,0.0312,4.53
0.000102,8.38,0,0.0129,4.53
-0.000477,8.46,0,0.0000,4.52
-0.000490,8.54,0,0.0000,4.51
-0.000366,8.63,0,0.0000,4.50
-0.000272,8.71,0,0.0000,4.49
