# Trazado en planta EDITADO a mano (alignment_editor):
# rectas + circulos + clotoides; rasante conservada
# kappa_1pm,elev_m,kerb,peralte_rad (seg 4.0 m)
-0.000570,-29.24,0,0.0000
-0.000512,-29.05,0,0.0000
-0.000455,-28.86,0,0.0000
-0.000398,-28.66,0,0.0000
-0.000341,-28.45,0,0.0000
-0.000284,-28.24,0,0.0000
-0.000227,-28.03,0,0.0000
-0.000170,-27.81,0,0.0000
-0.000113,-27.59,0,0.0000
-0.000056,-27.37,0,0.0000
0.000000,-27.14,0,0.0000
0.000000,-26.90,0,0.0000
0.000000,-26.66,0,0.0000
0.000000,-26.42,0,0.0000
0.000000,-26.17,0,0.0000
0.000000,-25.92,0,0.0000
0.000000,-25.67,0,0.0000
0.000000,-25.41,0,0.0000
0.000000,-25.14,0,0.0000
0.000000,-24.87,0,0.0000
0.000000,-24.60,0,0.0000
0.000000,-24.32,0,0.0000
0.000000,-24.04,0,0.0000
0.000000,-23.75,0,0.0000
0.000000,-23.46,0,0.0000
0.000000,-23.17,0,0.0000
0.000000,-22.87,0,0.0000
0.000000,-22.57,0,-0.0045
-0.000745,-22.26,0,-0.0064
-0.001891,-21.95,0,-0.0083
-0.001891,-21.63,0,-0.0102
-0.001891,-21.31,0,-0.0121
-0.001891,-20.99,0,-0.0139
-0.001891,-20.68,0,-0.0244
-0.001891,-20.39,0,-0.0445
-0.002605,-20.11,0,-0.0743
-0.012313,-19.85,1,-0.1047
-0.022022,-19.60,1,-0.1047
-0.031730,-19.37,1,-0.1047
-0.041438,-19.16,1,-0.1047
-0.051147,-18.96,1,-0.1047
-0.055804,-18.77,1,-0.1047
-0.055804,-18.61,1,-0.1047
-0.055804,-18.45,1,-0.1047
-0.055804,-18.32,1,-0.1047
-0.055804,-18.20,1,-0.1047
-0.055804,-18.09,1,-0.1047
-0.051186,-18.00,1,-0.1047
-0.034567,-17.93,1,-0.1047
-0.017948,-17.89,1,-0.1047
-0.001329,-17.88,0,-0.1047
0.000000,-17.89,0,-0.0538
0.000000,-17.94,0,-0.0193
0.000000,-18.02,0,0.0000
0.000000,-18.14,0,0.0000
0.000000,-18.28,0,0.0000
0.000000,-18.45,0,0.0000
0.000000,-18.65,0,0.0000
0.000000,-18.89,0,0.0000
0.000000,-19.15,0,0.0000
0.000000,-19.43,0,0.0000
0.000000,-19.72,0,0.0000
0.000000,-20.02,0,0.0000
0.000000,-20.33,0,0.0000
0.000000,-20.66,0,0.0000
0.000000,-21.00,0,0.0000
0.000000,-21.35,0,0.0000
0.000000,-21.71,0,0.0000
0.000000,-22.08,0,0.0000
0.000000,-22.46,0,0.0000
0.000000,-22.83,0,0.0000
0.000000,-23.19,0,0.0000
0.000000,-23.56,0,0.0000
0.000000,-23.92,0,0.0000
0.000000,-24.27,0,0.0000
0.000000,-24.63,0,0.0000
0.000000,-24.98,0,0.0000
0.000000,-25.33,0,0.0000
0.000000,-25.67,0,0.0000
0.000000,-26.02,0,0.0000
0.000000,-26.36,0,0.0000
0.000000,-26.68,0,0.0000
0.000000,-27.00,0,0.0000
0.000000,-27.30,0,0.0000
0.000000,-27.59,0,0.0000
0.000000,-27.86,0,0.0000
0.000000,-28.12,0,0.0000
0.000000,-28.37,0,0.0000
0.000000,-28.60,0,0.0000
0.000000,-28.82,0,0.0000
0.000000,-29.03,0,0.0000
0.000000,-29.23,0,0.0000
0.000000,-29.41,0,0.0000
0.000000,-29.58,0,0.0000
0.000000,-29.73,0,0.0000
0.000000,-29.88,0,0.0000
0.000000,-30.00,0,0.0000
0.000000,-30.12,0,0.0000
0.000000,-30.22,0,0.0000
0.000000,-30.31,0,0.0000
0.000000,-30.39,0,0.0000
0.000000,-30.45,0,0.0000
0.000000,-30.50,0,0.0000
0.000000,-30.54,0,0.0000
0.000000,-30.56,0,0.0000
0.000000,-30.57,0,0.0000
0.000000,-30.57,0,0.0000
0.000000,-30.57,0,0.0000
0.000000,-30.56,0,0.0000
0.000000,-30.56,0,0.0000
0.000000,-30.56,0,0.0000
0.000000,-30.55,0,0.0000
0.000000,-30.54,0,0.0000
0.000000,-30.54,0,0.0000
0.000000,-30.53,0,0.0000
0.000000,-30.52,0,0.0000
0.000000,-30.51,0,0.0000
0.000000,-30.51,0,0.0000
0.000000,-30.51,0,0.0000
0.000000,-30.51,0,0.0000
0.000000,-30.52,0,0.0000
